,Porosity (%)
909.2,-0.6309875065018645
910.3,-0.6312413236045229
911.4,-0.631698108917396
912.5,-0.6305955589933657
913.6,-0.6289482484113597
914.7,-0.6296436137570731
915.8,-0.6328609391730398
916.9,-0.628600238213025
918,-0.6275639499307514
919.1,-0.6282292321855033
920.2,-0.6287551087668097
921.2,-0.6309132976505981
922.3,-0.6312000528412682
923.4,-0.6301767973738412
924.5,-0.630439288230611
925.6,-0.6308798164327809
926.6,-0.6301154208025409
927.7,-0.6312326058335042
928.8,-0.6301042631947165
929.9,-0.631028660400832
930.9,-0.6320184730489096
932,-0.6287195147165421
933.1,-0.6321163863396765
934.1,-0.6353685380034896
935.2,-0.6309886760049589
936.3,-0.631019959059118
937.3,-0.6275693052461003
938.4,-0.6277084460130813
939.5,-0.6272900992633577
940.5,-0.6299812637462767
941.5,-0.6309593331174755
942.6,-0.6331555773112354
943.7,-0.6315548157924986
944.7,-0.6289388634246461
945.8,-0.6291034005661644
946.8,-0.6314527845078202
947.8,-0.6323661731777084
948.3,-0.6323100401672725
948.9,-0.6311332677874868
949.9,-0.6287198899411711
951,-0.6292756109567097
952,-0.6286988193666851
952.3,-0.62788873047501
953,-0.6274586917864884
Porosity (%),1.0
