,Porosity (%)
819.3,-0.4548663259144009
823,-0.45000243496302306
827.9,-0.48126848857103854
829.1,-0.4772158184970044
830.3,-0.5307150620154728
831.5,-0.522104079040974
832.7,-0.49670012916516826
833.9,-0.5403291101390699
835.1,-0.528753104849019
836.4,-0.5451277080626198
837.6,-0.5584960866173587
838.8,-0.571059793544103
840,-0.5578552683824479
841.2,-0.56969641681122
842.4,-0.5641032247420481
843.6,-0.5800078598908507
844.8,-0.5901585970559934
846,-0.5998554844613632
847.1,-0.6084255389469833
848.4,-0.6025651555032018
849.5,-0.6020433369760435
850.7,-0.605773997830892
851.9,-0.6100329457024212
853.1,-0.6092623164338888
854.3,-0.6200942576722765
855.5,-0.6229985511288542
Porosity (%),1.0
